country,year,value,region,indicator
MYS,2006,6.3,Western Pacific,MDG_0000000017
MDV,2003,2.5,South-East Asia,MDG_0000000017
GIN,2016,25,Africa,MDG_0000000017
SWE,2012,0.41,Europe,MDG_0000000017
IDN,2012,43,South-East Asia,MDG_0000000017
SEN,2011,20,Africa,MDG_0000000017
DOM,2010,7,Americas,MDG_0000000017
GBR,2002,0.85,Europe,MDG_0000000017
PSE,2006,0.16,Eastern Mediterranean,MDG_0000000017
FRA,2006,1.2,Europe,MDG_0000000017
RWA,2019,4.9,Africa,MDG_0000000017
NAM,2011,76,Africa,MDG_0000000017
LBN,2007,0.93,Eastern Mediterranean,MDG_0000000017
CRI,2013,0.85,Americas,MDG_0000000017
TLS,2017,102,South-East Asia,MDG_0000000017
SDN,2004,32,Eastern Mediterranean,MDG_0000000017
GHA,2010,40,Africa,MDG_0000000017
SVK,2005,0.88,Europe,MDG_0000000017
GUY,2007,13,Americas,MDG_0000000017
AND,2013,0,Europe,MDG_0000000017
COL,2018,2.4,Americas,MDG_0000000017
SAU,2009,1.4,Eastern Mediterranean,MDG_0000000017
HTI,2018,9.2,Americas,MDG_0000000017
ISR,2013,0.19,Europe,MDG_0000000017
CZE,2022,0.19,Europe,MDG_0000000017
FIN,2013,0.58,Europe,MDG_0000000017
TCD,2003,36,Africa,MDG_0000000017
NLD,2002,0.47,Europe,MDG_0000000017
OMN,2015,0.42,Eastern Mediterranean,MDG_0000000017
IND,2017,25,South-East Asia,MDG_0000000017
PRI,2009,0.24,Americas,MDG_0000000017
GRD,2019,1.1,Americas,MDG_0000000017
FJI,2019,4.4,Western Pacific,MDG_0000000017
ETH,2011,33,Africa,MDG_0000000017
NLD,2001,0.57,Europe,MDG_0000000017
AFG,2001,63,Eastern Mediterranean,MDG_0000000017
DOM,2005,7.6,Americas,MDG_0000000017
MDA,2005,19,Europe,MDG_0000000017
COK,2008,1,Western Pacific,MDG_0000000017
SLE,2003,74,Africa,MDG_0000000017
RWA,2001,5.2,Africa,MDG_0000000017
MUS,2007,1.2,Africa,MDG_0000000017
FSM,2015,13,Western Pacific,MDG_0000000017
GIN,2004,47,Africa,MDG_0000000017
IDN,2005,50,South-East Asia,MDG_0000000017
AMR,2010,2.1,NA,MDG_0000000017
BRA,2000,4.2,Americas,MDG_0000000017
GHA,2012,39,Africa,MDG_0000000017
GRC,2016,0.45,Europe,MDG_0000000017
JAM,2018,0.24,Americas,MDG_0000000017
MLT,2021,0.2,Europe,MDG_0000000017
POL,2017,1.5,Europe,MDG_0000000017
GNQ,2006,30,Africa,MDG_0000000017
LSO,2013,58,Africa,MDG_0000000017
DZA,2014,7.9,Africa,MDG_0000000017
ALB,2002,0.63,Europe,MDG_0000000017
SMR,2001,0,Europe,MDG_0000000017
UKR,2023,7,Europe,MDG_0000000017
SUR,2000,1,Americas,MDG_0000000017
FSM,2006,14,Western Pacific,MDG_0000000017
GUY,2017,11,Americas,MDG_0000000017
TKM,2015,9.3,Europe,MDG_0000000017
BEN,2010,11,Africa,MDG_0000000017
AUT,2022,0.32,Europe,MDG_0000000017
NOR,2009,0.59,Europe,MDG_0000000017
COG,2018,55,Africa,MDG_0000000017
TUV,2023,62,Western Pacific,MDG_0000000017
CAF,2006,87,Africa,MDG_0000000017
CUB,2017,0.35,Americas,MDG_0000000017
KOR,2019,3.7,Western Pacific,MDG_0000000017
LBR,2006,43,Africa,MDG_0000000017
SOM,2017,68,Eastern Mediterranean,MDG_0000000017
BGR,2012,2.4,Europe,MDG_0000000017
PHL,2012,28,Western Pacific,MDG_0000000017
COG,2010,43,Africa,MDG_0000000017
USA,2014,0.16,Americas,MDG_0000000017
MAC,2013,7,NA,MDG_0000000017
VEN,2006,2.5,Americas,MDG_0000000017
DOM,2009,6,Americas,MDG_0000000017
ISL,2020,0.28,Europe,MDG_0000000017
STP,2023,25,Africa,MDG_0000000017
NZL,2002,0.4,Western Pacific,MDG_0000000017
CPV,2002,6.3,Africa,MDG_0000000017
NIU,2013,0,Western Pacific,MDG_0000000017
BDI,2019,21,Africa,MDG_0000000017
WB_LMI,2011,36,NA,MDG_0000000017
GNB,2006,55,Africa,MDG_0000000017
OMN,2019,0.36,Eastern Mediterranean,MDG_0000000017
BGR,2002,3.9,Europe,MDG_0000000017
HKG,2009,3,NA,MDG_0000000017
LUX,2006,0.21,Europe,MDG_0000000017
MAC,2011,6.5,NA,MDG_0000000017
USA,2015,0.16,Americas,MDG_0000000017
SYR,2000,0.49,Eastern Mediterranean,MDG_0000000017
SAU,2013,1,Eastern Mediterranean,MDG_0000000017
GLOBAL,2010,20,NA,MDG_0000000017
PRT,2018,2.4,Europe,MDG_0000000017
JAM,2016,0.24,Americas,MDG_0000000017
IRL,2018,0.37,Europe,MDG_0000000017
MLI,2009,7.8,Africa,MDG_0000000017
AND,2015,0,Europe,MDG_0000000017
NRU,2022,15,Western Pacific,MDG_0000000017
AUS,2007,0.25,Western Pacific,MDG_0000000017
ARM,2008,6.1,Europe,MDG_0000000017
VEN,2008,2.4,Americas,MDG_0000000017
CHN,2020,2.1,Western Pacific,MDG_0000000017
WSM,2019,0.86,Western Pacific,MDG_0000000017
IRN,2004,0.89,Eastern Mediterranean,MDG_0000000017
DOM,2021,2.6,Americas,MDG_0000000017
SSD,2013,62,Africa,MDG_0000000017
NRU,2002,4.7,Western Pacific,MDG_0000000017
BLR,2018,3,Europe,MDG_0000000017
LSO,2004,82,Africa,MDG_0000000017
ATG,2020,1.2,Americas,MDG_0000000017
DZA,2016,7.7,Africa,MDG_0000000017
QAT,2013,0.3,Eastern Mediterranean,MDG_0000000017
GAB,2021,95,Africa,MDG_0000000017
DEU,2018,0.36,Europe,MDG_0000000017
WSM,2022,0.4,Western Pacific,MDG_0000000017
OMN,2005,0.65,Eastern Mediterranean,MDG_0000000017
SVN,2002,1.1,Europe,MDG_0000000017
CRI,2012,1.1,Americas,MDG_0000000017
JOR,2009,0.35,Eastern Mediterranean,MDG_0000000017
FJI,2015,3.9,Western Pacific,MDG_0000000017
WB_UMI,2012,8.3,NA,MDG_0000000017
IND,2004,55,South-East Asia,MDG_0000000017
VNM,2005,28,Western Pacific,MDG_0000000017
ERI,2014,21,Africa,MDG_0000000017
NLD,2014,0.21,Europe,MDG_0000000017
POL,2014,1.5,Europe,MDG_0000000017
GEO,2005,5.3,Europe,MDG_0000000017
ERI,2007,31,Africa,MDG_0000000017
ZWE,2003,28,Africa,MDG_0000000017
VCT,2019,0.98,Americas,MDG_0000000017
AZE,2006,6.7,Europe,MDG_0000000017
SDN,2002,31,Eastern Mediterranean,MDG_0000000017
JAM,2002,0.68,Americas,MDG_0000000017
BHR,2023,0.93,Eastern Mediterranean,MDG_0000000017
DZA,2000,8.2,Africa,MDG_0000000017
MHL,2004,30,Western Pacific,MDG_0000000017
ITA,2010,0.62,Europe,MDG_0000000017
ERI,2023,2.2,Africa,MDG_0000000017
FRA,2002,1.7,Europe,MDG_0000000017
TJK,2005,14,Europe,MDG_0000000017
KNA,2020,1.9,Americas,MDG_0000000017
MDG,2010,57,Africa,MDG_0000000017
MYS,2022,7.3,Western Pacific,MDG_0000000017
PAK,2017,21,Eastern Mediterranean,MDG_0000000017
NRU,2009,3.8,Western Pacific,MDG_0000000017
AUT,2011,0.66,Europe,MDG_0000000017
GLOBAL,2003,28,NA,MDG_0000000017
PSE,2021,0.07,Eastern Mediterranean,MDG_0000000017
LKA,2013,3.7,South-East Asia,MDG_0000000017
LVA,2012,3.2,Europe,MDG_0000000017
KIR,2021,37,Western Pacific,MDG_0000000017
MUS,2019,1.3,Africa,MDG_0000000017
VNM,2008,23,Western Pacific,MDG_0000000017
ZMB,2023,11,Africa,MDG_0000000017
NAM,2018,64,Africa,MDG_0000000017
PSE,2014,0.13,Eastern Mediterranean,MDG_0000000017
IRN,2012,0.89,Eastern Mediterranean,MDG_0000000017
RWA,2016,5.4,Africa,MDG_0000000017
DJI,2015,38,Eastern Mediterranean,MDG_0000000017
VUT,2019,5.4,Western Pacific,MDG_0000000017
TJK,2019,7.9,Europe,MDG_0000000017
SMR,2010,0,Europe,MDG_0000000017
COM,2021,8.3,Africa,MDG_0000000017
AFR,2004,52,NA,MDG_0000000017
SMR,2017,0,Europe,MDG_0000000017
BTN,2015,18,South-East Asia,MDG_0000000017
AFR,2003,54,NA,MDG_0000000017
HUN,2015,1.1,Europe,MDG_0000000017
