country,year,value,region,indicator
POL,1990,17.21223,Europe,MDG_0000000026
HND,1994,119.5907,Americas,MDG_0000000026
MDV,1998,114.75022,South-East Asia,MDG_0000000026
TJK,2018,17.35197,Europe,MDG_0000000026
STP,2009,156.9618,Africa,MDG_0000000026
BWA,1990,235.16531,Africa,MDG_0000000026
CAN,1995,8.21904,Americas,MDG_0000000026
CZE,2020,3.37402,Europe,MDG_0000000026
MLT,2003,9.00517,Europe,MDG_0000000026
FSM,1989,97.11661,Western Pacific,MDG_0000000026
TUN,1994,81.81344,Eastern Mediterranean,MDG_0000000026
MLI,1988,1158.91516,Africa,MDG_0000000026
ARE,2020,9.3407,Eastern Mediterranean,MDG_0000000026
EST,2004,15.06184,Europe,MDG_0000000026
POL,1993,14.22492,Europe,MDG_0000000026
SOM,2014,792.55108,Eastern Mediterranean,MDG_0000000026
ARE,2017,8.59166,Eastern Mediterranean,MDG_0000000026
AUT,1987,8.37764,Europe,MDG_0000000026
BEL,1987,8.12658,Europe,MDG_0000000026
TUN,2012,43.46059,Eastern Mediterranean,MDG_0000000026
WPR,2016,39.36885,NA,MDG_0000000026
SEAR,1991,511.43576,NA,MDG_0000000026
NIC,2005,157.51722,Americas,MDG_0000000026
ARE,1990,21.19998,Eastern Mediterranean,MDG_0000000026
MEX,1987,92.43644,Americas,MDG_0000000026
JOR,1991,77.45082,Eastern Mediterranean,MDG_0000000026
GNB,2020,725.09243,Africa,MDG_0000000026
PNG,2009,289.234,Western Pacific,MDG_0000000026
COL,2009,71.33593,Americas,MDG_0000000026
TTO,2011,44.31872,Americas,MDG_0000000026
JOR,2006,55.7045,Eastern Mediterranean,MDG_0000000026
URY,2003,22.32583,Americas,MDG_0000000026
CHL,2011,20.15415,Americas,MDG_0000000026
TUN,1995,75.13392,Eastern Mediterranean,MDG_0000000026
LSO,2009,1096.16177,Africa,MDG_0000000026
AFR,1988,967.06099,NA,MDG_0000000026
BLZ,2019,86.01262,Americas,MDG_0000000026
DJI,2003,440.45591,Eastern Mediterranean,MDG_0000000026
AFR,2015,580.54748,NA,MDG_0000000026
COD,1986,1104.55935,Africa,MDG_0000000026
LBR,2011,643.57067,Africa,MDG_0000000026
MWI,1988,985.90862,Africa,MDG_0000000026
MWI,2000,573.46209,Africa,MDG_0000000026
KGZ,2015,61.29533,Europe,MDG_0000000026
UZB,2000,42.647,Europe,MDG_0000000026
FRA,1995,14.17623,Europe,MDG_0000000026
AUT,2012,5.74165,Europe,MDG_0000000026
ARG,2011,50.25195,Americas,MDG_0000000026
SWZ,1995,451.02962,Africa,MDG_0000000026
ZWE,1999,384.57032,Africa,MDG_0000000026
PRT,1990,14.98198,Europe,MDG_0000000026
LSO,2020,566.20625,Africa,MDG_0000000026
PAK,1990,356.22772,Eastern Mediterranean,MDG_0000000026
SEAR,1988,568.13359,NA,MDG_0000000026
ARM,1985,54.02798,Europe,MDG_0000000026
CRI,2011,24.25176,Americas,MDG_0000000026
SLB,2000,150.14598,Western Pacific,MDG_0000000026
KGZ,2014,59.71467,Europe,MDG_0000000026
ECU,2015,65.91205,Americas,MDG_0000000026
EST,1985,49.07971,Europe,MDG_0000000026
MMR,2006,331.80115,South-East Asia,MDG_0000000026
MNG,2010,65.49474,Western Pacific,MDG_0000000026
URY,2010,17.7572,Americas,MDG_0000000026
PAK,2003,348.82374,Eastern Mediterranean,MDG_0000000026
LVA,2017,21.79118,Europe,MDG_0000000026
MUS,2008,45.07862,Africa,MDG_0000000026
LUX,1989,11.73649,Europe,MDG_0000000026
CAN,2011,11.86201,Americas,MDG_0000000026
COG,2013,361.82641,Africa,MDG_0000000026
TON,2014,94.13238,Western Pacific,MDG_0000000026
MYS,1987,54.29317,Western Pacific,MDG_0000000026
MNE,2001,9.46954,Europe,MDG_0000000026
BWA,2019,117.87685,Africa,MDG_0000000026
SLV,1993,115.95288,Americas,MDG_0000000026
PRY,1987,228.97826,Americas,MDG_0000000026
ZMB,1997,500.66291,Africa,MDG_0000000026
GLOBAL,2009,262.65724,NA,MDG_0000000026
THA,1994,47.39317,South-East Asia,MDG_0000000026
BRA,1985,227.02599,Americas,MDG_0000000026
ZWE,2005,533.07277,Africa,MDG_0000000026
TKM,2005,16.76499,Europe,MDG_0000000026
WSM,2019,66.35197,Western Pacific,MDG_0000000026
ETH,1997,947.11905,Africa,MDG_0000000026
VUT,2006,97.49602,Western Pacific,MDG_0000000026
MAR,2015,96.5807,Eastern Mediterranean,MDG_0000000026
TGO,2011,499.77851,Africa,MDG_0000000026
IDN,1996,331.54194,South-East Asia,MDG_0000000026
KWT,2003,9.74859,Eastern Mediterranean,MDG_0000000026
KWT,2004,9.79571,Eastern Mediterranean,MDG_0000000026
GRD,2018,21.08288,Americas,MDG_0000000026
HRV,1997,11.04578,Europe,MDG_0000000026
AGO,1999,893.48684,Africa,MDG_0000000026
COM,1988,613.02227,Africa,MDG_0000000026
SGP,1989,14.02195,Western Pacific,MDG_0000000026
CAN,1988,7.00536,Americas,MDG_0000000026
PNG,2008,291.5668,Western Pacific,MDG_0000000026
COG,2000,659.78667,Africa,MDG_0000000026
UGA,2006,416.233,Africa,MDG_0000000026
CMR,2013,490.70608,Africa,MDG_0000000026
HUN,2019,14.10705,Europe,MDG_0000000026
MKD,1995,15.64415,Europe,MDG_0000000026
CHN,1997,65.69755,Western Pacific,MDG_0000000026
ESP,2008,4.00192,Europe,MDG_0000000026
DJI,2020,234.49007,Eastern Mediterranean,MDG_0000000026
PAN,2018,47.07842,Americas,MDG_0000000026
CAN,2000,9.30375,Americas,MDG_0000000026
MLI,1995,954.90561,Africa,MDG_0000000026
COL,2013,70.30792,Americas,MDG_0000000026
NLD,2006,9.21644,Europe,MDG_0000000026
AFG,1987,1586.72148,Eastern Mediterranean,MDG_0000000026
MNE,1986,11.19155,Europe,MDG_0000000026
ISR,2015,2.91526,Europe,MDG_0000000026
AFG,2011,883.71393,Eastern Mediterranean,MDG_0000000026
MDA,1996,81.31419,Europe,MDG_0000000026
LVA,2019,21.80957,Europe,MDG_0000000026
VNM,2020,45.530029999999996,Western Pacific,MDG_0000000026
GIN,1997,957.85287,Africa,MDG_0000000026
LTU,1990,26.02781,Europe,MDG_0000000026
MDA,2000,48.90637,Europe,MDG_0000000026
FSM,2003,63.41261,Western Pacific,MDG_0000000026
IRN,1999,45.02696,Eastern Mediterranean,MDG_0000000026
KIR,1993,161.7324,Western Pacific,MDG_0000000026
QAT,1989,24.77656,Eastern Mediterranean,MDG_0000000026
COL,2004,82.35472,Americas,MDG_0000000026
TGO,2015,440.80604,Africa,MDG_0000000026
TCD,1993,1380.59853,Africa,MDG_0000000026
ESP,2004,4.55348,Europe,MDG_0000000026
KIR,1991,187.4829,Western Pacific,MDG_0000000026
CPV,1992,259.98853,Africa,MDG_0000000026
DNK,2013,5.12522,Europe,MDG_0000000026
WSM,2003,63.63342,Western Pacific,MDG_0000000026
ITA,2018,4.88753,Europe,MDG_0000000026
LBR,2015,685.59166,Africa,MDG_0000000026
BWA,2003,184.49465,Africa,MDG_0000000026
